0.894641	1.636538	WLACZ
2.291154	3.011231	WYLACZ
3.688844	4.385975	ZWIEKSZ
4.996897	5.738795	ZMNIEJSZ
6.524333	7.266231	OTWORZ
7.986308	8.553641	UCHYL
9.317359	10.190179	ZAMKNIJ
10.822974	11.652154	PRZYCISZ
12.219487	13.179590	PODGLOSNIJ
13.978413	14.721451	ZASLON
15.510930	16.277188	ODSLON
17.136327	17.972245	WSALONIE
18.808163	19.481542	WKUCHNI
20.294240	21.199819	WLAZIENCE
22.012517	22.871655	WGARAZU
23.591474	24.659592	WSYPIALNI
25.332971	25.983129	WDOMU
26.935147	27.608526	KUCHNIE
28.235465	29.001723	SALON
29.721542	30.371701	DOM
31.114739	31.997098	LAZIENKE
32.531156	33.599274	SYPIALNIE
34.319093	35.131791	GARAZ
35.944490	36.919728	OGRZEWANIE
37.709206	38.521905	ALARM
39.288163	40.124082	SWIATLO
40.681361	41.517279	TELEWIZOR
42.353197	43.281995	PIEKARNIK
44.025034	44.884172	PRALKE
45.650431	46.439909	CZAJNIK
47.066848	48.065306	ZMYWARKE
48.576145	49.899683	KLIMATYZACJE
50.503401	51.339320	MUZYKE
52.221678	53.173696	ODKURZACZ
53.823855	54.706213	KOMINEK
55.402812	56.099410	OKNO
56.888889	57.678367	BRAME
58.235646	59.025125	DRZWI
60.162902	60.836281	GARAZ
61.440000	62.229478	ROLETY
63.181295	63.988654	DOMINIMUM
64.785103	65.396077	OJEDEN
66.214346	66.727128	ODWA
67.676321	68.309115	OTRZY
69.345590	70.043846	OCZTERY
71.178513	71.942231	OPIEC
73.000526	73.731513	OSZESC
74.746167	75.455333	OSIEDEM
76.524538	77.244615	OOSIEM
78.302910	79.121179	ODZIEWIEC
79.710333	80.670436	DOMAKSIMUM
