1.720568	2.257660	WLACZ
3.290530	3.992881	 WYLACZ
5.025397	5.728290	ZWIEKSZ
6.513083	7.256750	ZMNIEJSZ
8.330934	8.950656	OTWORZ
9.818266	10.355359	UCHYL
11.388228	12.131894	ZAMKNIJ
12.916875	13.619227	PRZYCISZ
14.445523	15.354448	PODGLOSNIJ
16.222058	17.007039	ZASLON
17.874650	18.618316	ODSLON
19.361982	20.188278	W SALONIE
20.931944	21.758240	W KUCHNI
22.584536	23.534776	W LAZIENCE
24.443701	25.269997	W GARAZU
26.261552	27.294422	W SYPIALNI
28.162032	28.864384	W DOMU
29.979883	30.599605	KUCHNIE
31.549845	32.210881	SALON
33.119807	33.656899	DOM
34.855028	35.640009	LAZIENKE
36.590249	37.457859	SYPIALNIE
38.532044	39.275710	GARAZ
40.184635	41.176190	OGRZEWANIE
41.961171	42.580893	ALARM
43.324559	44.150855	SWIATLO
44.977151	45.762132	TELEWIZOR
46.588427	47.538668	PIEKARNIK
48.488908	49.191259	PRALKE
50.182814	51.009110	CZAJNIK
51.794091	52.744331	ZMYWARKE
53.378706	54.576835	KLIMATYZACJE
55.444445	56.146797	MUZYKE
57.138351	58.088592	ODKURZACZ
59.038832	59.823813	KOMINEK
61.021942	61.600349	OKNO
62.674533	63.335570	BRAME
64.698958	65.277365	DRZWI
66.723382	67.425734	GARAZ
68.334659	69.202270	ROLETY
70.028565	70.813546	DO MINIMUM
71.929046	72.755341	O JEDEN
73.912155	74.573192	O DWA
75.812636	76.638931	O TRZY
77.961005	78.745985	O CZTERY
79.902800	80.687781	O PIEC
82.009854	82.836149	O SZESC
83.827704	84.612685	O SIEDEM
85.686870	86.595795	O OSIEM
87.669980	88.537590	O DZIEWIEC
89.529145	90.479385	DO MAKSIMUM
